college_name,alias,abbreviation,transcripts,mid_year,letter_of_rec_required,letter_of_rec_total,people_for_letters,sat,sat_essay,act_essay,self_report,subject_tests,essays,supplemental_essays,acceptance_rate,population,national_ranking,tuition_normal,tuition_oos,early_decision,early_action,regular_decision,scholarship_date,interview,app_fee,app_site,common_app,coalition_app,college_logo,school_type,state
"University of California, San Diego",UC San Diego,UCSD,n,n,0,0,,req,req,req,n,recommend,"4 / 1. Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes or contributed to group efforts over time. (350) / 2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side. (350) / 
3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time? (350) / 4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced. (350) / 5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement? (350) / 6.  Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom. (350) / 7. What have you done to make your school or your community a better place? (350) / 8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California? (350)",,32.3,30794,37,14451,44205,-1,-1,1606694460,1606694460,none,70,UC Application,n,n,https://i.pinimg.com/originals/38/07/2d/38072dcb9cd8c386188f5a2f48b437f9.png,Public,CA
"University of California, Berkeley",UC Berkeley,UCB,n,n,0,0,,req,req,req,n,recommend,"4 / 1. Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes or contributed to group efforts over time. (350) / 2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side. (350) / 
3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time? (350) / 4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced. (350) / 5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement? (350) / 6.  Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom. (350) / 7. What have you done to make your school or your community a better place? (350) / 8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California? (350)",,16.4,31348,22,14254,44008,-1,-1,1606694460,1606694460,none,70,UC Application,n,n,https://seeklogo.com/images/U/university-of-california-berkeley-athletic-logo-815CB73082-seeklogo.com.png,Public,CA
"University of California, Los Angeles",UC Los Angeles,UCLA,n,n,0,0,,req,req,req,n,recommend,"4 / 1. Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes or contributed to group efforts over time. (350) / 2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side. (350) / 
3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time? (350) / 4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced. (350) / 5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement? (350) / 6.  Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom. (350) / 7. What have you done to make your school or your community a better place? (350) / 8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California? (350)",,12.4,31577,20,13239,42993,-1,-1,1606694460,1606694460,none,70,UC Application,n,n,https://library.kissclipart.com/20180923/vhq/kissclipart-fathead-ucla-bruins-logo-wall-decal-clipart-ucla-b-e4a3161c839d0dd8.jpg,Public,CA
"University of California, Santa Barbara",UC Santa Barbara,UCSB,n,n,0,0,,req,req,req,n,recommend,"4 / 1. Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes or contributed to group efforts over time. (350) / 2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side. (350) / 
3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time? (350) / 4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced. (350) / 5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement? (350) / 6.  Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom. (350) / 7. What have you done to make your school or your community a better place? (350) / 8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California? (350)",,29.7,23349,34,12570,42234,-1,-1,1606694460,1606694460,none,70,UC Application,n,n,https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/UC_Santa_Barbara_Gauchos_logo.svg/1200px-UC_Santa_Barbara_Gauchos_logo.svg.png,Public,CA
"University of California, Santa Cruz",UC Santa Cruz,UCSC,n,n,0,0,,req,req,req,n,recommend,"4 / 1. Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes or contributed to group efforts over time. (350) / 2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side. (350) / 
3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time? (350) / 4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced. (350) / 5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement? (350) / 6.  Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom. (350) / 7. What have you done to make your school or your community a better place? (350) / 8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California? (350)",,51.5,17517,84,13989,43743,-1,-1,1606694460,1606694460,none,70,UC Application,n,n,https://shop.ucsc.edu/students-in-recovery/images/fiat-slug.jpg,Public,CA
"University of California, Davis",UC Davis,UCD,n,n,0,0,,req,req,req,n,recommend,"4 / 1. Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes or contributed to group efforts over time. (350) / 2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side. (350) / 
3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time? (350) / 4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced. (350) / 5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement? (350) / 6.  Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom. (350) / 7. What have you done to make your school or your community a better place? (350) / 8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California? (350)",,39.1,30982,39,14490,44244,-1,-1,1606694460,1606694460,none,70,UC Application,n,n,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/UC_Davis_Aggies_logo.svg/1200px-UC_Davis_Aggies_logo.svg.png,Public,CA
"University of California, Riverside",UC Riverside,UCR,n,n,0,0,,req,req,req,n,recommend,"4 / 1. Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes or contributed to group efforts over time. (350) / 2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side. (350) / 
3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time? (350) / 4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced. (350) / 5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement? (350) / 6.  Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom. (350) / 7. What have you done to make your school or your community a better place? (350) / 8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California? (350)",,56.3,22055,91,11442,41196,-1,-1,1606694460,1606694460,none,70,UC Application,n,n,https://sportslogohistory.com/wp-content/uploads/2019/03/uc_riverside_highlanders_2012_a.png,Public,CA
"University of California, Merced",UC Merced,UCM,n,n,0,0,,req,req,req,n,recommend,"4 / 1. Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes or contributed to group efforts over time. (350) / 2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side. (350) / 
3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time? (350) / 4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced. (350) / 5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement? (350) / 6.  Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom. (350) / 7. What have you done to make your school or your community a better place? (350) / 8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California? (350)",,72.59999999999999,8151,104,13538,43292,-1,-1,1606694460,1606694460,none,70,UC Application,n,n,https://marketing.ucmerced.edu/sites/marketing.ucmerced.edu/files/images/campus-recreation-logo-rad_900h.png,Public,CA
"University of California, Irvine",UC Irvine,UCI,n,n,0,0,,req,req,req,n,recommend,"4 / 1. Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes or contributed to group efforts over time. (350) / 2. Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side. (350) / 
3. What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time? (350) / 4. Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced. (350) / 5. Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement? (350) / 6.  Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom. (350) / 7. What have you done to make your school or your community a better place? (350) / 8. Beyond what has already been shared in your application, what do you believe makes you stand out as a strong candidate for admissions to the University of California? (350)",,26.6,30382,36,12570,42234,-1,-1,1606694460,1606694460,none,70,UC Application,n,n,https://i.pinimg.com/originals/7f/f1/d4/7ff1d41f7236c812359dbd0bc38fcc3b.png,Public,CA
San Diego State University,San Diego State,SDSU,n,n,0,0,,req,op,op,n,op,none,,34,30393,147,7488,19340,-1,-1,1606694460,-1,none,70,CSU Application,n,n,https://www.logolynx.com/images/logolynx/46/46368fa57f17c7225e1f3293d76cbce5.png,Public,CA
